oNameFull,managementwms
Argentina,2.682061571
Australia,2.998398619
Brazil,2.661258846
Canada,3.142590754
Chile,2.703608859
China,2.645383676
Colombia,2.577777788
Ethiopia,2.223918557
"France, Monaco",2.999214665
Germany,3.178216353
Ghana,2.227538235
United Kingdom,2.992595008
Greece,2.692988341
India,2.52701134
Italy,2.946692645
Japan,3.164652386
Kenya,2.542582401
Mexico,2.885632961
Mozambique,2.018172374
Myanmar,2.371040075
New Zealand,2.851329933
Nicaragua,2.42725347
Nigeria,2.486450721
Poland,2.877629924
Portugal,2.769369259
Ireland,2.766390578
Singapore,2.95374931
Spain,2.748442374
Sweden,3.166390016
United Republic of Tanzania,2.251917527
Turkey,2.70565597
"USA, Puerto Rico and US Virgin Islands",3.284692178
Viet Nam,2.607710603
Zambia,2.319230769